video_time_s,solver_step,currently_at_goal,total_agents
13.700000,411,0,1000000
13.733333,412,0,1000000
13.766667,413,0,1000000
13.800000,414,0,1000000
13.833333,415,0,1000000
13.866667,416,0,1000000
13.900000,417,0,1000000
13.933333,418,0,1000000
13.966667,419,0,1000000
14.000000,420,0,1000000
14.033333,421,0,1000000
14.066667,422,0,1000000
14.100000,423,0,1000000
14.133333,424,0,1000000
14.166667,425,0,1000000
14.200000,426,0,1000000
14.233333,427,0,1000000
14.266667,428,0,1000000
14.300000,429,0,1000000
14.333333,430,0,1000000
14.366667,431,0,1000000
14.400000,432,0,1000000
14.433333,433,0,1000000
14.466667,434,0,1000000
14.500000,435,0,1000000
14.533333,436,0,1000000
14.566667,437,0,1000000
14.600000,438,0,1000000
14.633333,439,0,1000000
14.666667,440,0,1000000
14.700000,441,0,1000000
14.733333,442,0,1000000
14.766667,443,0,1000000
14.800000,444,0,1000000
14.833333,445,0,1000000
14.866667,446,0,1000000
14.900000,447,0,1000000
14.933333,448,0,1000000
14.966667,449,0,1000000
15.000000,450,0,1000000
15.033333,451,0,1000000
15.066667,452,0,1000000
15.100000,453,0,1000000
15.133333,454,0,1000000
15.166667,455,0,1000000
15.200000,456,0,1000000
15.233333,457,0,1000000
15.266667,458,0,1000000
15.300000,459,0,1000000
15.333333,460,0,1000000
15.366667,461,0,1000000
15.400000,462,0,1000000
15.433333,463,0,1000000
15.466667,464,0,1000000
15.500000,465,0,1000000
15.533333,466,0,1000000
15.566667,467,0,1000000
15.600000,468,0,1000000
15.633333,469,0,1000000
15.666667,470,0,1000000
15.700000,471,0,1000000
15.733333,472,0,1000000
15.766667,473,0,1000000
15.800000,474,0,1000000
15.833333,475,0,1000000
15.866667,476,0,1000000
15.900000,477,0,1000000
15.933333,478,0,1000000
15.966667,479,0,1000000
16.000000,480,0,1000000
16.033333,481,0,1000000
16.066667,482,0,1000000
16.100000,483,0,1000000
16.133333,484,0,1000000
16.166667,485,0,1000000
16.200000,486,0,1000000
16.233333,487,0,1000000
16.266667,488,0,1000000
16.300000,489,0,1000000
16.333333,490,0,1000000
16.366667,491,0,1000000
16.400000,492,0,1000000
16.433333,493,0,1000000
16.466667,494,0,1000000
16.500000,495,0,1000000
16.533333,496,0,1000000
16.566667,497,0,1000000
16.600000,498,0,1000000
16.633333,499,0,1000000
16.666667,500,0,1000000
16.700000,501,0,1000000
16.733333,502,0,1000000
16.766667,503,0,1000000
16.800000,504,0,1000000
16.833333,505,0,1000000
16.866667,506,0,1000000
16.900000,507,0,1000000
16.933333,508,0,1000000
16.966667,509,0,1000000
17.000000,510,0,1000000
17.033333,511,0,1000000
17.066667,512,0,1000000
17.100000,513,0,1000000
17.133333,514,0,1000000
17.166667,515,0,1000000
17.200000,516,0,1000000
17.233333,517,0,1000000
17.266667,518,0,1000000
17.300000,519,0,1000000
17.333333,520,0,1000000
17.366667,521,0,1000000
17.400000,522,0,1000000
17.433333,523,0,1000000
17.466667,524,0,1000000
17.500000,525,0,1000000
17.533333,526,0,1000000
17.566667,527,0,1000000
17.600000,528,0,1000000
17.633333,529,0,1000000
17.666667,530,0,1000000
17.700000,531,0,1000000
17.733333,532,0,1000000
17.766667,533,0,1000000
17.800000,534,0,1000000
17.833333,535,0,1000000
17.866667,536,0,1000000
17.900000,537,13152,1000000
17.933333,538,15564,1000000
17.966667,539,9124,1000000
18.000000,540,20760,1000000
18.033333,541,18352,1000000
18.066667,542,21336,1000000
18.100000,543,22587,1000000
18.133333,544,25859,1000000
18.166667,545,26315,1000000
18.200000,546,29416,1000000
18.233333,547,30226,1000000
18.266667,548,33572,1000000
18.300000,549,34449,1000000
18.333333,550,37058,1000000
18.366667,551,38345,1000000
18.400000,552,41151,1000000
18.433333,553,42511,1000000
18.466667,554,45045,1000000
18.500000,555,46203,1000000
18.533333,556,48765,1000000
18.566667,557,50118,1000000
18.600000,558,52334,1000000
18.633333,559,54152,1000000
18.666667,560,55880,1000000
18.700000,561,58051,1000000
18.733333,562,59795,1000000
18.766667,563,61871,1000000
18.800000,564,63510,1000000
18.833333,565,65169,1000000
18.866667,566,66968,1000000
18.900000,567,68308,1000000
18.933333,568,70524,1000000
18.966667,569,72220,1000000
19.000000,570,73920,1000000
19.033333,571,75753,1000000
19.066667,572,77366,1000000
19.100000,573,78695,1000000
19.133333,574,80926,1000000
19.166667,575,81815,1000000
19.200000,576,84312,1000000
19.233333,577,85715,1000000
19.266667,578,86886,1000000
19.300000,579,88251,1000000
19.333333,580,90018,1000000
19.366667,581,91509,1000000
19.400000,582,93061,1000000
19.433333,583,94409,1000000
19.466667,584,95268,1000000
19.500000,585,97054,1000000
19.533333,586,98127,1000000
19.566667,587,100264,1000000
19.600000,588,101318,1000000
19.633333,589,102310,1000000
19.666667,590,103844,1000000
19.700000,591,104786,1000000
19.733333,592,106843,1000000
19.766667,593,107189,1000000
19.800000,594,109157,1000000
19.833333,595,110189,1000000
19.866667,596,111989,1000000
19.900000,597,113293,1000000
19.933333,598,114482,1000000
19.966667,599,116442,1000000
20.000000,600,116623,1000000
20.033333,601,118344,1000000
20.066667,602,119878,1000000
20.100000,603,121391,1000000
20.133333,604,122941,1000000
20.166667,605,124155,1000000
20.200000,606,125660,1000000
20.233333,607,126867,1000000
20.266667,608,128984,1000000
20.300000,609,129878,1000000
20.333333,610,131085,1000000
20.366667,611,132801,1000000
20.400000,612,133356,1000000
20.433333,613,135836,1000000
20.466667,614,137130,1000000
20.500000,615,138743,1000000
20.533333,616,140417,1000000
20.566667,617,141677,1000000
20.600000,618,143985,1000000
20.633333,619,144955,1000000
20.666667,620,146658,1000000
20.700000,621,148328,1000000
20.733333,622,149855,1000000
20.766667,623,151282,1000000
20.800000,624,152965,1000000
20.833333,625,154176,1000000
20.866667,626,155770,1000000
20.900000,627,157681,1000000
20.933333,628,159380,1000000
20.966667,629,160928,1000000
21.000000,630,162451,1000000
21.033333,631,162853,1000000
21.066667,632,165897,1000000
21.100000,633,166292,1000000
21.133333,634,168516,1000000
21.166667,635,169948,1000000
21.200000,636,170863,1000000
21.233333,637,172936,1000000
21.266667,638,173857,1000000
21.300000,639,175688,1000000
21.333333,640,177810,1000000
21.366667,641,178937,1000000
21.400000,642,180336,1000000
21.433333,643,182566,1000000
21.466667,644,184165,1000000
21.500000,645,185699,1000000
21.533333,646,187418,1000000
21.566667,647,188991,1000000
21.600000,648,190078,1000000
21.633333,649,192367,1000000
21.666667,650,194926,1000000
21.700000,651,195497,1000000
21.733333,652,197820,1000000
21.766667,653,199606,1000000
21.800000,654,202321,1000000
21.833333,655,202343,1000000
21.866667,656,205996,1000000
21.900000,657,206231,1000000
21.933333,658,209746,1000000
21.966667,659,210993,1000000
22.000000,660,213712,1000000
22.033333,661,215258,1000000
22.066667,662,217089,1000000
22.100000,663,219054,1000000
22.133333,664,221678,1000000
22.166667,665,223637,1000000
22.200000,666,224745,1000000
22.233333,667,227825,1000000
22.266667,668,229626,1000000
22.300000,669,232331,1000000
22.333333,670,233605,1000000
22.366667,671,236436,1000000
22.400000,672,237365,1000000
22.433333,673,239392,1000000
22.466667,674,242003,1000000
22.500000,675,243882,1000000
22.533333,676,246180,1000000
22.566667,677,249090,1000000
22.600000,678,250472,1000000
22.633333,679,252333,1000000
22.666667,680,254888,1000000
22.700000,681,256940,1000000
22.733333,682,258299,1000000
22.766667,683,261391,1000000
22.800000,684,262390,1000000
22.833333,685,265386,1000000
22.866667,686,267442,1000000
